0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2/06/2025,0430 PM, MI, Alger, 2 S Trenary, , , 46.16, -86.98, PKGUST, 41, mph, Mesonet, Peak Wind Gust,
2/06/2025,0652 PM, MI, Alger, Munising Lakeshore, , , 46.4117, -86.6508, PKGUST, 48, mph, ASOS, Peak Wind Gust,
2/06/2025,0531 PM, MI, Baraga, 4 NNW Watton, , , 46.6, -88.63, PKGUST, 41, mph, Mesonet, Peak Wind Gust,
2/06/2025,0430 PM, MI, Delta, 3 N Escanaba, , , 45.79, -87.08, PKGUST, 43, mph, Mesonet, Peak Wind Gust,
2/06/2025,0346 PM, MI, Delta, Escanaba, , , 45.75, -87.08, PKGUST, 51, mph, AWOS, Peak Wind Gust,
2/06/2025,0315 PM, MI, Dickinson, 1 W Iron Mountain, , , 45.827698119473, -88.082264515237, PKGUST, 48, mph, Trained Spotter, Peak Wind Gust,
2/06/2025,0238 PM, MI, Dickinson, 1 NW Kingsford, , , 45.82, -88.12, PKGUST, 49, mph, ASOS, Peak Wind Gust,
2/06/2025,0445 PM, MI, Gogebic, 1 S Watersmeet, , , 46.26, -89.18, PKGUST, 40, mph, Mesonet, Peak Wind Gust,
2/06/2025,0234 PM, MI, Gogebic, 4 NW Bessemer, , , 46.52, -90.12, PKGUST, 45, mph, AWOS, Peak Wind Gust,
2/06/2025,0234 PM, MI, Gogebic, Ironwood Airport, , , 46.5167, -90.1167, PKGUST, 45, mph, AWOS, Peak Wind Gust,
2/06/2025,0215 PM, MI, Gogebic, 1 WNW Wakefield, , , 46.48, -89.95, PKGUST, 53, mph, Mesonet, Peak Wind Gust,
2/06/2025,0400 PM, MI, Houghton, 1 E Trout Creek, , , 46.48, -88.99, PKGUST, 42, mph, Mesonet, Peak Wind Gust,
2/06/2025,1235 PM, MI, Houghton, Houghton Co Airport, , , 47.17, -88.48, PKGUST, 61, mph, ASOS, Peak Wind Gust,
2/06/2025,0215 PM, MI, Keweenaw, Phoenix, , , 47.39, -88.28, PKGUST, 40, mph, Mesonet, Peak Wind Gust,
2/06/2025,0824 PM, MI, Keweenaw, Ojibway - Isle Royale, , , 48.1091, -88.6073, PKGUST, 49, mph, RAWS, Peak Wind Gust,
2/06/2025,0736 PM, MI, Keweenaw, Copper Harbor, , , 47.4667, -87.8833, PKGUST, 59, mph, ASOS, Peak Wind Gust,
2/06/2025,0655 PM, MI, Luce, Newberry, , , 46.3, -85.45, PKGUST, 40, mph, AWOS, Peak Wind Gust,
2/06/2025,0800 PM, MI, Luce, McMillan (MAWN), , , 46.3134, -85.6487, PKGUST, 40, mph, MESOWEST, Peak Wind Gust,
2/06/2025,0730 PM, MI, Luce, Newberry MDOT, , , 46.3038, -85.26, PKGUST, 43, mph, MESOWEST, Peak Wind Gust,
2/06/2025,0400 PM, MI, Marquette, 2 W Sundell, , , 46.35, -87.12, PKGUST, 40, mph, Mesonet, Peak Wind Gust,
2/06/2025,0618 PM, MI, Marquette, WFO-Negaunee Township, , , 46.5312, -87.5483, PKGUST, 43, mph, CWOP, Peak Wind Gust,
2/06/2025,0522 PM, MI, Marquette, Sawyer Airport, , , 46.35, -87.4, PKGUST, 51, mph, AWOS, Peak Wind Gust,
2/06/2025,0251 PM, MI, Menominee, Menominee, , , 45.12, -87.62, PKGUST, 44, mph, AWOS, Peak Wind Gust,
2/06/2025,0315 PM, MI, Ontonagon, 2 SE Rockland, , , 46.72, -89.15, PKGUST, 41, mph, Mesonet, Peak Wind Gust,
2/06/2025,0400 PM, MI, Ontonagon, 6 E Mass City, , , 46.77, -88.95, PKGUST, 42, mph, Mesonet, Peak Wind Gust,
2/06/2025,0400 PM, MI, Ontonagon, Nisula MDOT, , , 46.7658, -88.9452, PKGUST, 42, mph, MESOWEST, Peak Wind Gust,
2/06/2025,0430 PM, MI, Ontonagon, Silver City, , , 46.83, -89.57, PKGUST, 46, mph, Mesonet, Peak Wind Gust,
2/06/2025,0400 PM, MI, Ontonagon, Ontonagon, , , 46.87, -89.31, PKGUST, 54, mph, Mesonet, Peak Wind Gust,
2/06/2025,0545 PM, MI, Schoolcraft, 3 ENE Manistique, , , 45.97, -86.2, PKGUST, 40, mph, Mesonet, Peak Wind Gust,
2/06/2025,0700 PM, MI, Schoolcraft, Port Inland, , , 45.9699, -85.8715, PKGUST, 43, mph, NOS-NWLON, Peak Wind Gust,
2/06/2025,0745 PM, MI, Schoolcraft, Manistique MDOT, , , 45.967, -86.2027, PKGUST, 48, mph, MESOWEST, Peak Wind Gust,
,,,,,,,,,,,,,,
Observations are collected from a variety of sources with varying,,,,,,,,,,,,,,
equipment and exposures. We thank all volunteer weather observers,,,,,,,,,,,,,,
for their dedication. Not all data listed are considered official.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
$$,,,,,,,,,,,,,,
